Timestamp,What is your sex? (don't mean to offend) // Cual es tu sexo? (Sin ofender),How old are you? (Just write the number of years) // Cuantos anios tienes? (Solo escribe el número de anios),Do you have any children? // Tienes hijos? ,Do you smoke? // Fumas? ,Where are you from? (Country) // De donde eres? (Pais),Where do you live now? (Country) // Donde vives ahora? (Pais),Have you studied abroad? // Has estudiado en el extranjero?,"If you answered 'yes' before, write the country where you studied. // Si seleccionaste que si en la pregunta anterior, escribe en que pais estudiaste.",What is your latest degree? (Even if you just started) // Cual es tu último grado de estudios? (Incluso si acabas de empezarlo),What is your Bachelor's degree area? // Cual es el area de tus estudios de Licenciatura?,"From 1 to 10, how much did you enjoy your Bachelor's studies? // Del 1 al 10, cuanto disfrutaste tus estudios de Licenciatura?",Do you currently work on something related to your Bachelor's studies? // Actualmente trabajas en algo relacionado con tus estudios de licenciatura?,"If previous answer was 'yes', how much do you enjoy working there? // Si la respuesta anterior fue si, cuanto disfrutas trabajar ahi?","Think about your top 3 hobbies, select all that apply. // Piensa en tus 3 pasatiempos favoritos, selecciona todas las que apliquen. ","About your favorite hobby, how often do you practice it? // De tu pasatiempo favorito, que tan seguido lo practicas? ","About your favorite hobby, how much do you enjoy it? // De tu pasatiempo favorito, que tanto lo disfrutas? ",Do you consider that you don't have enough time to practice your favorite hobby? // Consideras que no tienes el tiempo suficiente para practicar tu pasatiempo favorito?
8/1/2017 21:48:51,Fem,32,No,Yes,Mexico ,Mexico ,Yes,UK,Bachelor // Licenciatura,Humanities // Humanidades,8,No,,"Stay at home // Quedarme en casa, Just me // Solo yo, With friends // Con amigos",3 or more times a week // 3 veces o mas a la semana,10,"No, it's enough // No, asi es suficiente"
8/1/2017 21:51:18,Fem,21,No,"Not right now, but I have // No ahora, pero lo he hecho",Mexico,Mexico,Yes,Sweden,Bachelor // Licenciatura,"Arts, Design and Architecture // Artes, Disenio y Arquitectura",6,Yes,10,"Outdoors // Exteriores, Videogames // Videojuegos, Arts & Crafts",3 or more times a week // 3 veces o mas a la semana,10,"No, it's enough // No, asi es suficiente"
8/1/2017 21:51:47,Male,30,No,Yes,Mexico,Mexico,No,,Bachelor // Licenciatura,"Arts, Design and Architecture // Artes, Disenio y Arquitectura",9,"No, but I work on something else // No, pero trabajo en algo mas",,"Outdoors // Exteriores, Sports // Deportes, Stay at home // Quedarme en casa, Videogames // Videojuegos, With friends // Con amigos",3 or more times a week // 3 veces o mas a la semana,10,"No, it's enough // No, asi es suficiente"
8/1/2017 21:53:22,Male,22,No,"Not right now, but I have // No ahora, pero lo he hecho",Mexico,Mexico,No,,Bachelor // Licenciatura,Computer Science and IT // Ciencias de la computacion y TI,7,Yes,7,"Outdoors // Exteriores, Videogames // Videojuegos, Music",3 or more times a week // 3 veces o mas a la semana,10,"Yes, I need more time // Si,  necesito mas tiempo"
8/1/2017 21:56:04,Fem,19,No,No,Colombia,Colombia,No,,Bachelor // Licenciatura,"Arts, Design and Architecture // Artes, Disenio y Arquitectura",9,No,,"Sports // Deportes, Stay at home // Quedarme en casa, Videogames // Videojuegos, Just me // Solo yo, With friends // Con amigos, Pet // Mascota, Study // Estudiar, Party // Fiesta",3 or more times a week // 3 veces o mas a la semana,7,"Yes, I need more time // Si,  necesito mas tiempo"
8/1/2017 21:58:53,Male,25,No,No,Mexico,Mexico,No,,Bachelor // Licenciatura,Engineering and Technology // Ingenieria y Tecnologia,9,Yes,9,"Sports // Deportes, Videogames // Videojuegos, With friends // Con amigos",3 or more times a week // 3 veces o mas a la semana,10,"Yes, I need more time // Si,  necesito mas tiempo"
8/1/2017 22:01:16,Fem,30,No,No,Mexico,Mexico,No,,Bachelor // Licenciatura,Social Sciences // Ciencias Sociales,9,"No, but I work on something else // No, pero trabajo en algo mas",8,"Outdoors // Exteriores, With friends // Con amigos, Mall // Centro comercial",Twice a month // dos veces al mes,9,"Yes, I need more time // Si,  necesito mas tiempo"
8/1/2017 22:02:37,Male,29,No,No,Mexico,Mexico,No,,Bachelor // Licenciatura,Engineering and Technology // Ingenieria y Tecnologia,10,Yes,10,"Outdoors // Exteriores, Sports // Deportes, Videogames // Videojuegos",Once or twice a week // una o dos veces a la semana,10,"No, it's enough // No, asi es suficiente"
8/1/2017 22:08:17,Fem,24,No,No,Peru,Peru,No,,High School // Preparatoria,,,,,Videogames // Videojuegos,3 or more times a week // 3 veces o mas a la semana,10,"No, it's enough // No, asi es suficiente"
8/1/2017 22:13:08,Male,23,No,No,Thailand,Thailand,Yes,Germany,Bachelor // Licenciatura,Computer Science and IT // Ciencias de la computacion y TI,5,Yes,3,"Stay at home // Quedarme en casa, Videogames // Videojuegos, Music",3 or more times a week // 3 veces o mas a la semana,10,"Yes, I need more time // Si,  necesito mas tiempo"
8/1/2017 22:15:35,Male,23,No,No,Thailand,Thailand,Yes,Germany,Bachelor // Licenciatura,Computer Science and IT // Ciencias de la computacion y TI,7,Yes,6,"Outdoors // Exteriores, Sports // Deportes, Stay at home // Quedarme en casa, Videogames // Videojuegos, With friends // Con amigos, Mall // Centro comercial",Once or twice a week // una o dos veces a la semana,10,"Yes, I need more time // Si,  necesito mas tiempo"
8/1/2017 22:16:42,Fem,25,No,No,Mexico,Mexico,No,,Bachelor // Licenciatura,Medicine and Health // Medicina y Salud,6,No,,"Sports // Deportes, Stay at home // Quedarme en casa, Just me // Solo yo, With friends // Con amigos, Pet // Mascota, Party // Fiesta",Once a month // una vez al mes,6,"Yes, I need more time // Si,  necesito mas tiempo"
8/1/2017 22:26:33,Fem,29,No,No,Mexico,Mexico,No,,Bachelor // Licenciatura,Social Sciences // Ciencias Sociales,10,Yes,10,"Outdoors // Exteriores, Videogames // Videojuegos, With friends // Con amigos",Twice a month // dos veces al mes,10,"No, it's enough // No, asi es suficiente"
8/1/2017 22:27:56,Fem,28,No,"Not right now, but I have // No ahora, pero lo he hecho",Mexico,Mexico,No,,Bachelor // Licenciatura,Law // Leyes,5,"No, but I have // No, pero si he trabajado",5,"Stay at home // Quedarme en casa, With friends // Con amigos, Pet // Mascota",Once or twice a week // una o dos veces a la semana,9,"Yes, I need more time // Si,  necesito mas tiempo"
8/1/2017 22:47:23,Fem,54,Yes,No,Mexico,Mexico,No,,Bachelor // Licenciatura,Medicine and Health // Medicina y Salud,10,Yes,9,"Stay at home // Quedarme en casa, With friends // Con amigos",3 or more times a week // 3 veces o mas a la semana,10,"No, it's enough // No, asi es suficiente"
8/1/2017 22:48:03,Male,28,No,No,Mexico,Mexico,Yes,UK,Masters // Maestria,Computer Science and IT // Ciencias de la computacion y TI,8,Yes,8,"Stay at home // Quedarme en casa, Videogames // Videojuegos, Just me // Solo yo, With friends // Con amigos, Mall // Centro comercial, Pet // Mascota, Study // Estudiar",3 or more times a week // 3 veces o mas a la semana,10,"No, it's enough // No, asi es suficiente"
8/1/2017 22:54:30,Fem,24,No,No,Mexico,Mexico,Yes,Germany,Bachelor // Licenciatura,Engineering and Technology // Ingenieria y Tecnologia,7,"No, but I work on something else // No, pero trabajo en algo mas",,"Outdoors // Exteriores, Sports // Deportes, Study // Estudiar",Once or twice a week // una o dos veces a la semana,10,"No, it's enough // No, asi es suficiente"
8/1/2017 22:54:32,Male,35,Yes,No,Mexico,Mexico,No,,Masters // Maestria,Computer Science and IT // Ciencias de la computacion y TI,8,Yes,8,"Stay at home // Quedarme en casa, Just me // Solo yo, With friends // Con amigos",Once or twice a week // una o dos veces a la semana,9,"No, it's enough // No, asi es suficiente"
8/1/2017 23:14:45,Fem,26,No,No,Mexico,Mexico,No,Mexico,Bachelor // Licenciatura,Engineering and Technology // Ingenieria y Tecnologia,8,"No, but I work on something else // No, pero trabajo en algo mas",10,"Videogames // Videojuegos, With friends // Con amigos, Pet // Mascota",3 or more times a week // 3 veces o mas a la semana,10,"No, it's enough // No, asi es suficiente"
8/1/2017 23:20:36,Male,25,No,Yes,Mexico,Mexico,Yes,Germany,Bachelor // Licenciatura,Engineering and Technology // Ingenieria y Tecnologia,10,Yes,10,"Outdoors // Exteriores, Sports // Deportes, Stay at home // Quedarme en casa, With friends // Con amigos",Once a month // una vez al mes,10,"Yes, I need more time // Si,  necesito mas tiempo"
8/1/2017 23:20:58,Male,38,Yes,No,Mexico,Mexico,No,,Bachelor // Licenciatura,Computer Science and IT // Ciencias de la computacion y TI,6,Yes,10,"Stay at home // Quedarme en casa, Videogames // Videojuegos, Just me // Solo yo, Family",Tanto como pueda tiempo de calidad,10,"Yes, I need more time // Si,  necesito mas tiempo"
8/1/2017 23:30:52,Fem,25,No,Yes,USA,USA,Yes,Mexico,High School // Preparatoria,,,,,"Outdoors // Exteriores, Sports // Deportes, Pet // Mascota",Once a month // una vez al mes,8,"No, it's enough // No, asi es suficiente"
8/1/2017 23:57:32,Male,24,No,No,Mexico,Mexico,Yes,Germany,Bachelor // Licenciatura,Engineering and Technology // Ingenieria y Tecnologia,5,Yes,6,"Sports // Deportes, Videogames // Videojuegos, Party // Fiesta",Once a month // una vez al mes,8,"Yes, I need more time // Si,  necesito mas tiempo"
8/2/2017 0:12:01,Fem,24,No,No,Hungary,Hungary,Yes,Germany,Masters // Maestria,Applied Sciences // Ciencias aplicadas,10,Yes,8,"Sports // Deportes, With friends // Con amigos, Music",3 or more times a week // 3 veces o mas a la semana,10,"Yes, I need more time // Si,  necesito mas tiempo"
8/2/2017 0:13:03,Male,45,Yes,Yes,Mexico,Mexico,No,,Less than high school // Secundaria o menor,,,,,Sports // Deportes,Once or twice a week // una o dos veces a la semana,10,"Yes, I need more time // Si,  necesito mas tiempo"
8/2/2017 0:36:00,Fem,25,No,Yes,Italy ,Italy ,Yes,Germany ,Masters // Maestria,"Arts, Design and Architecture // Artes, Disenio y Arquitectura",8,No,,"Stay at home // Quedarme en casa, Study // Estudiar, Party // Fiesta",Once or twice a week // una o dos veces a la semana,9,"Yes, I need more time // Si,  necesito mas tiempo"
8/2/2017 0:38:51,Fem,26,Yes,Yes,Mexico ,Mexico ,No,,Masters // Maestria,Education and Training // Educacion y Entrenamiento,10,Yes,10,"Pet // Mascota, Estar con mi hija ",3 or more times a week // 3 veces o mas a la semana,10,"No, it's enough // No, asi es suficiente"
8/2/2017 1:17:09,Male,30,Yes,Yes,Mexico,Mexico,No,,High School // Preparatoria,,,,,"Sports // Deportes, Videogames // Videojuegos, Party // Fiesta",Twice a month // dos veces al mes,9,"Yes, I need more time // Si,  necesito mas tiempo"
8/2/2017 1:25:36,Fem,25,No,No,S.Korea,S.Korea,Yes,Germany,Bachelor // Licenciatura,Humanities // Humanidades,8,"No, but I have // No, pero si he trabajado",6,"Outdoors // Exteriores, With friends // Con amigos, Mall // Centro comercial",Once or twice a week // una o dos veces a la semana,9,"Yes, I need more time // Si,  necesito mas tiempo"
8/2/2017 1:28:48,Fem,49,Yes,No,Mexico,Mexico,No,,Less than high school // Secundaria o menor,,,,,"Outdoors // Exteriores, With friends // Con amigos, Mall // Centro comercial, Party // Fiesta",Once or twice a week // una o dos veces a la semana,9,"Yes, I need more time // Si,  necesito mas tiempo"
8/2/2017 1:44:02,Male,22,No,Yes,Vietnam,Finland,Yes,Finland,Bachelor // Licenciatura,Computer Science and IT // Ciencias de la computacion y TI,6,Yes,4,"Stay at home // Quedarme en casa, Videogames // Videojuegos, With friends // Con amigos",3 or more times a week // 3 veces o mas a la semana,9,"Yes, I need more time // Si,  necesito mas tiempo"
8/2/2017 1:45:41,Fem,10,No,"Not right now, but I have // No ahora, pero lo he hecho",Mexico,Mexico,No,,High School // Preparatoria,,,,,"Sports // Deportes, With friends // Con amigos, Mall // Centro comercial",Once a month // una vez al mes,10,"No, it's enough // No, asi es suficiente"
8/2/2017 2:50:34,Fem,16,No,No,Spain,Spain,No,,High School // Preparatoria,,,,,"Sports // Deportes, Videogames // Videojuegos, With friends // Con amigos",Once or twice a week // una o dos veces a la semana,10,"No, it's enough // No, asi es suficiente"
8/2/2017 3:12:35,Fem,16,No,No,Mexico,Mexico,Yes,USA,High School // Preparatoria,,,,,"Stay at home // Quedarme en casa, Videogames // Videojuegos, Just me // Solo yo",Todos los dias,10,"No, it's enough // No, asi es suficiente"
8/2/2017 3:14:36,Fem,24,No,No,Spain,Spain,No,,Bachelor // Licenciatura,Medicine and Health // Medicina y Salud,10,Yes,10,"Sports // Deportes, Videogames // Videojuegos, Pet // Mascota",3 or more times a week // 3 veces o mas a la semana,10,"No, it's enough // No, asi es suficiente"
8/2/2017 3:20:15,Fem,39,Yes,No,USA,USA,No,,High School // Preparatoria,,,,,"Sports // Deportes, Stay at home // Quedarme en casa, Just me // Solo yo",Once or twice a week // una o dos veces a la semana,5,"No, it's enough // No, asi es suficiente"
8/2/2017 3:40:19,Male,24,No,No,Colombia,Sweden,Yes,Mexico,Bachelor // Licenciatura,Business and Management // Negocios y Administracion,7,Yes,8,"Videogames // Videojuegos, With friends // Con amigos, Party // Fiesta",3 or more times a week // 3 veces o mas a la semana,8,"Yes, I need more time // Si,  necesito mas tiempo"
8/2/2017 4:16:15,Fem,27,No,No,Germany,Germany,No,,Bachelor // Licenciatura,Applied Sciences // Ciencias aplicadas,3,"No, but I work on something else // No, pero trabajo en algo mas",6,"Stay at home // Quedarme en casa, Just me // Solo yo, Gf",Once or twice a week // una o dos veces a la semana,10,"Yes, I need more time // Si,  necesito mas tiempo"
8/2/2017 4:27:18,Fem,32,No,No,Germany,Germany,Yes,USA,Masters // Maestria,Humanities // Humanidades,8,"No, but I have // No, pero si he trabajado",,"Outdoors // Exteriores, Stay at home // Quedarme en casa, With friends // Con amigos",Once or twice a week // una o dos veces a la semana,8,"No, it's enough // No, asi es suficiente"
8/2/2017 5:16:31,Fem,14,No,No,Spain,Spain,Yes,UK,Less than high school // Secundaria o menor,,,,,"Stay at home // Quedarme en casa, Videogames // Videojuegos, Just me // Solo yo",3 or more times a week // 3 veces o mas a la semana,8,"Yes, I need more time // Si,  necesito mas tiempo"
8/2/2017 6:22:01,Fem,50,Yes,No,Mexico,Mexico,No,,Less than high school // Secundaria o menor,,,,,"Stay at home // Quedarme en casa, Party // Fiesta, Bailar",Once or twice a week // una o dos veces a la semana,10,"No, it's enough // No, asi es suficiente"
8/2/2017 7:12:04,Fem,45,Yes,No,Mexico,Mexico,No,,High School // Preparatoria,,,,,"Stay at home // Quedarme en casa, Just me // Solo yo, Pet // Mascota",3 or more times a week // 3 veces o mas a la semana,7,"No, it's enough // No, asi es suficiente"
8/2/2017 7:14:38,Fem,45,Yes,No,Mexico,Mexico,No,,High School // Preparatoria,,,,,"Stay at home // Quedarme en casa, With friends // Con amigos, Pet // Mascota",Once a month // una vez al mes,10,"Yes, I need more time // Si,  necesito mas tiempo"
8/2/2017 7:39:06,Fem,44,Yes,No,Mexico,Mexico,No,,Bachelor // Licenciatura,Business and Management // Negocios y Administracion,10,"No, but I have // No, pero si he trabajado",10,"Outdoors // Exteriores, Stay at home // Quedarme en casa, Mall // Centro comercial",3 or more times a week // 3 veces o mas a la semana,10,"Yes, I need more time // Si,  necesito mas tiempo"
8/2/2017 7:42:04,Fem,56,Yes,No,Mexico,Mexico,No,,Bachelor // Licenciatura,Medicine and Health // Medicina y Salud,8,Yes,10,"Sports // Deportes, With friends // Con amigos, Congresos  en mi area ",Twice a month // dos veces al mes,9,"Yes, I need more time // Si,  necesito mas tiempo"
8/2/2017 7:42:12,Male,23,No,No,Mexico,Mexico,Yes,Germany,Masters // Maestria,Engineering and Technology // Ingenieria y Tecnologia,10,Yes,8,"Stay at home // Quedarme en casa, Videogames // Videojuegos, Mall // Centro comercial",Once or twice a week // una o dos veces a la semana,9,"Yes, I need more time // Si,  necesito mas tiempo"
8/2/2017 7:49:48,Fem,35,No,No,Mexico,Mexico,No,,Bachelor // Licenciatura,Applied Sciences // Ciencias aplicadas,10,Yes,10,"Stay at home // Quedarme en casa, Party // Fiesta, Leer",Once or twice a week // una o dos veces a la semana,10,"No, it's enough // No, asi es suficiente"
8/2/2017 7:54:09,Fem,45,Yes,No,Mexico,Mexico,No,,Bachelor // Licenciatura,Medicine and Health // Medicina y Salud,4,Yes,9,"Stay at home // Quedarme en casa, Just me // Solo yo, With friends // Con amigos, Mall // Centro comercial",Once a month // una vez al mes,10,"Yes, I need more time // Si,  necesito mas tiempo"
8/2/2017 8:05:51,Male,51,Yes,No,Mexico,Mexico,No,,Bachelor // Licenciatura,Business and Management // Negocios y Administracion,10,No,,"Sports // Deportes, Stay at home // Quedarme en casa, With friends // Con amigos",Once or twice a week // una o dos veces a la semana,10,"No, it's enough // No, asi es suficiente"
8/2/2017 8:12:34,Fem,53,Yes,No,Mexico,Mexico,No,,Bachelor // Licenciatura,Business and Management // Negocios y Administracion,10,No,,"Sports // Deportes, Stay at home // Quedarme en casa, With friends // Con amigos, Mall // Centro comercial",Once a month // una vez al mes,10,"Yes, I need more time // Si,  necesito mas tiempo"
8/2/2017 8:16:31,Fem,43,Yes,No,Mexico,Mexico,No,,Less than high school // Secundaria o menor,,,,,"Sports // Deportes, Stay at home // Quedarme en casa, Just me // Solo yo, With friends // Con amigos, Mall // Centro comercial, Party // Fiesta",3 or more times a week // 3 veces o mas a la semana,10,"No, it's enough // No, asi es suficiente"
8/2/2017 8:26:34,Male,39,Yes,Yes,Mexico,Mexico,No,,Bachelor // Licenciatura,Business and Management // Negocios y Administracion,10,Yes,10,"Sports // Deportes, Stay at home // Quedarme en casa, With friends // Con amigos",3 or more times a week // 3 veces o mas a la semana,10,"No, it's enough // No, asi es suficiente"
8/2/2017 8:29:35,Fem,49,Yes,No,Mexico,Mexico,No,,Bachelor // Licenciatura,Medicine and Health // Medicina y Salud,8,No,,"Outdoors // Exteriores, Sports // Deportes, Stay at home // Quedarme en casa, Just me // Solo yo, With friends // Con amigos, Mall // Centro comercial",Twice a month // dos veces al mes,8,"No, it's enough // No, asi es suficiente"
8/2/2017 8:30:50,Fem,22,No,No,Mexico,Mexico,No,,High School // Preparatoria,,,,,"Stay at home // Quedarme en casa, Just me // Solo yo, Write stories / Escribir historias",Once or twice a week // una o dos veces a la semana,9,"Yes, I need more time // Si,  necesito mas tiempo"
8/2/2017 8:34:56,Fem,40,Yes,Yes,Mexico,Mexico,No,,Bachelor // Licenciatura,Medicine and Health // Medicina y Salud,5,No,,"Stay at home // Quedarme en casa, Just me // Solo yo, Party // Fiesta",Once or twice a week // una o dos veces a la semana,9,"No, it's enough // No, asi es suficiente"
8/2/2017 8:41:49,Fem,36,Yes,Yes,Mexico,Mexico,No,,Bachelor // Licenciatura,Medicine and Health // Medicina y Salud,8,"No, but I have // No, pero si he trabajado",,"Stay at home // Quedarme en casa, With friends // Con amigos, Party // Fiesta",Once or twice a week // una o dos veces a la semana,10,"No, it's enough // No, asi es suficiente"
8/2/2017 8:45:34,Male,28,No,No,Mexico,Mexico,No,,Bachelor // Licenciatura,Computer Science and IT // Ciencias de la computacion y TI,9,Yes,8,"Outdoors // Exteriores, Stay at home // Quedarme en casa, Videogames // Videojuegos",Once or twice a week // una o dos veces a la semana,10,"Yes, I need more time // Si,  necesito mas tiempo"
8/2/2017 8:47:20,Fem,37,Yes,Yes,Mexico,Mexico,No,,Bachelor // Licenciatura,Business and Management // Negocios y Administracion,5,No,,"Stay at home // Quedarme en casa, With friends // Con amigos, Pet // Mascota",3 or more times a week // 3 veces o mas a la semana,7,"No, it's enough // No, asi es suficiente"
8/2/2017 8:48:09,Male,22,No,No,Mexico,Mexico,Yes,Spain,Bachelor // Licenciatura,Engineering and Technology // Ingenieria y Tecnologia,10,Yes,10,"Sports // Deportes, With friends // Con amigos, Study // Estudiar",3 or more times a week // 3 veces o mas a la semana,10,"No, it's enough // No, asi es suficiente"
